url,property_id,num_of_rooms,Locality_name,postal_code,price,property_type,sub_property_type,type_sale,living_area,kitchen_type,Furnished,Open_fire,Terrace,Garden,Number_of_faceds,Swimming_pool,State_of_building
https://www.immoweb.be/nl/zoekertje/huis/te-koop/nieuwerkerken-9320/9320/7214646,7214646,3,nieuwerkerken-9320,9320,,Huis ,,Non public,151 m²,,0,0,Ja,,,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/heusden-zolder/3550/7216308,7216308,2,heusden-zolder,3550,,Huis ,,Non public,103 m²,,0,0,,600 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/wonck/4690/7216850,7216850,3,wonck,4690,,Huis ,,Non public,180 m²,,0,0,,152 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/stene/8400/7219057,7219057,3,stene,8400,,Huis,Villa ,Non public,135 m²,Geïnstalleerd,0,0,,372 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/erembodegem/9320/7220591,7220591,3,erembodegem,9320,,Huis ,,Non public,194 m²,,0,0,Ja,,,,Op te frissen
https://www.immoweb.be/nl/zoekertje/huis/te-koop/bredene/8450/7221901,7221901,4,bredene,8450,,Huis ,,Non public,230 m²,,0,0,25 m²,466 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/galmaarden/1570/7222876,7222876,3,galmaarden,1570,,Gebouw voor,,Non public,245 m²,Geïnstalleerd,0,0,40 m²,,,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/geraardsbergen/9500/7223110,7223110,3,geraardsbergen,9500,,Huis ,,Non public,,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/nieuwpoort/8620/7225647,7225647,2,nieuwpoort,8620,,Appartement ,,Non public,70 m²,Hyper uitgerust,1,0,Ja,,,,Net gerenoveerd
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/leopoldsburg/3970/7227579,7227579,2,leopoldsburg,3970,,Appartement ,,Non public,72 m²,Geïnstalleerd,0,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/herfelingen/1540/7227995,7227995,2,herfelingen,1540,,Boerderij ,,Non public,,Geïnstalleerd,0,0,Ja,,,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/meerbeke/9402/7229147,7229147,3,meerbeke,9402,,Huis,Villa ,Non public,145 m²,Geïnstalleerd,0,0,80 m²,,,0.0,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/waremme/4300/7235801,7235801,4,waremme,4300,,Gebouw voor,,Non public,535 m²,Geïnstalleerd,0,0,Ja,,3,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/heusden-zolder/3550/7235918,7235918,3,heusden-zolder,3550,,Huis ,,Non public,150 m²,,0,0,,300 m²,3,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/heusden-zolder/3550/7235919,7235919,3,heusden-zolder,3550,,Huis ,,Non public,150 m²,,0,0,,400 m²,3,,Te renoveren
https://www.immoweb.be/nl/zoekertje/huis/te-koop/soumagne-melen/4633/7236122,7236122,3,soumagne-melen,4633,,Huis,Villa ,Non public,152 m²,Geïnstalleerd,0,1,50 m²,962 m²,4,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/gooik/1755/7237379,7237379,3,gooik,1755,,Huis ,,Non public,,,0,0,Ja,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/zonhoven/3520/7237742,7237742,2,zonhoven,3520,,Appartement ,,Non public,90 m²,,0,0,12 m²,,,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/knokke/8300/7239155,7239155,2,knokke,8300,,Appartement ,,Non public,91 m²,,0,0,,,2,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/wetteren/9230/7239182,7239182,2,wetteren,9230,,Appartement ,,Non public,87 m²,Geïnstalleerd,0,0,14 m²,,3,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/wetteren/9230/7239183,7239183,4,wetteren,9230,,Huis ,,Non public,128 m²,Geïnstalleerd,0,0,8 m²,125 m²,3,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/wetteren/9230/7239997,7239997,2,wetteren,9230,,Appartement,Duplex ,Non public,82 m²,Geïnstalleerd,0,0,4 m²,,2,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/wetteren/9230/7239999,7239999,2,wetteren,9230,,Huis ,,Non public,82 m²,Geïnstalleerd,0,0,24 m²,,3,,
